uid,size,brand,model,loadspeed
202501300052,285/45R20,Goodyear,Eagle Sport All-Season ROF,112H
202501300053,285/50R20,Goodyear,EfficientGrip 2 SUV,112V
202501300054,275/60R20,Goodyear,EfficientGrip 2 SUV,115H
202501300055,285/45R22,Goodyear,EfficientGrip 2 SUV,114H
202501300056,275/55R20,Goodyear,EfficientGrip 2 SUV,117V
202501300057,275/50R21,Goodyear,EfficientGrip 2 SUV,113V
202501300058,265/60R18,Goodyear,EfficientGrip 2 SUV,110V
202501300059,265/50R20,Goodyear,EfficientGrip 2 SUV,111V
202501300060,255/55R18,Goodyear,EfficientGrip 2 SUV,109V
202501300061,235/50R19,Goodyear,EfficientGrip 2 SUV,103V
202501300062,225/45R19,Goodyear,Eagle F1 Asymmetric 6,96W
202501300063,255/40R19,Goodyear,Eagle F1 Asymmetric 6,100Y
202501300064,235/55R19,Goodyear,Eagle F1 Asymmetric 3 SUV,101Y
202501300065,245/35R20,Goodyear,Eagle F1 Asymmetric 3 MOE Run Flat,95Y
202501300066,285/40R20,Goodyear,Eagle Sport All-Season ROF,108V
202501300067,255/45R20,Goodyear,Eagle Sport All-Season ROF,105V
202501300068,235/55R19,Goodyear,Eagle F1 Asymmetric 5 MO,101H
202501300069,265/50R19,Goodyear,Eagle F1 Asymmetric 2 SUV,110Y
202501300070,255/50R19,Goodyear,Eagle F1 Asymmetric SUV Run Flat,107W
202501300071,275/40R18,Goodyear,Eagle F1 Asymmetric 3,103Y
202501300072,275/35R20,Goodyear,EXCELLENCE ROF,102Y
202501300073,285/35R21,Goodyear,Eagle F1 Asymmetric 5 SoundComfort,105Y
202501300074,255/40R21,Goodyear,Eagle F1 Asymmetric 5 SCT,102Y
202501300075,255/50R20,Goodyear,Eagle F1 Asymmetric SUV AT,109W
202501300076,275/30R20,Goodyear,Eagle F1 Asymmetric 3 MOE Run Flat,97Y
202501300077,255/60R19,Goodyear,Eagle F1 Asymmetric SUV AT,113W
202501300078,205/55R17,Goodyear,EfficientGrip Performance Run Flat,91W
202501300079,255/45R19,Goodyear,Eagle F1 Asymmetric AO,104Y
202501300080,245/45R18,Goodyear,Eagle F1 Asymmetric 3,100Y
202501300081,275/40R18,Goodyear,Eagle F1 Asymmetric 3 MO,103Y
202501300082,245/45R18,Goodyear,Eagle F1 Asymmetric 3 MO,100Y
202501300083,225/50R18,Goodyear,Eagle F1 Asymmetric 3 ROF,95W
202501300084,255/65R19,Goodyear,Wrangler All-Terrain Adventure,114H
202501300085,255/60R20,Goodyear,Wrangler All-Terrain Adventure,113H
202501300086,245/45ZR20,Goodyear,Eagle F1 Supercar,99Y
202501300087,265/45R21,Goodyear,Eagle F1 Asymmetric 3 SUV AO,108H
202501300088,235/55R20,Goodyear,Eagle Sport All-Season,102V
202501300089,275/55R19,Goodyear,Eagle F1 Asymmetric 3 SUV,111W
202501300090,225/45R18,Goodyear,Eagle F1 Asymmetric 3 ROF,95Y
202501300091,225/40R19,Goodyear,Eagle F1 Asymmetric 3 ROF,93Y
202501300092,255/35R19,Goodyear,Eagle F1 Asymmetric 3 ROF,96Y
202501300093,235/50R20,Goodyear,Eagle F1 Asymmetric SUV AT,104W
202501300094,295/40R20,Goodyear,Eagle F1 Asymmetric 3 SUV NO,106Y
202501300095,295/40R22,Goodyear,Eagle F1 Asymmetric SUV MO1,112W
202501300096,285/40R21,Goodyear,Eagle F1 Asymmetric 3 SUV AO,109Y
202501300097,205/55R16,Goodyear,EfficientGrip Performance 2,91V
202501300098,195/65R15,Goodyear,EfficientGrip Performance 2,91V
202501300099,195/65R15,Goodyear,EfficientGrip Performance 2,91H
202501300100,205/55R16,Goodyear,EfficientGrip Performance 2,91H
202501300101,225/40R18,Goodyear,Eagle F1 Asymmetric 2 MOExtended Run Flat,92W
202501300102,285/40R22,Goodyear,Eagle F1 Asymmetric SUV AT,110Y
202501300103,235/55R17,Goodyear,Excellence AO,99V
202501300104,225/45R18,Goodyear,EfficientGrip Performance,95W
202501300105,255/55R19,Goodyear,Eagle F1 Asymmetric 2 SUV JLR,111W
202501300106,245/40R19,Goodyear,Eagle F1 Asymmetric 3 MOE Run Flat,98Y
202501300107,245/45R18,Goodyear,Eagle F1 Asymmetric 3 MOE Run Flat,100Y
202501300108,275/35R19,Goodyear,Eagle F1 Asymmetric 3 MOE Run Flat,100Y
202501300109,285/40R21,Goodyear,Eagle F1 Asymmetric 2 SUV,109Y
202501300110,285/45R20,Goodyear,Eagle F1 Asymmetric 2 SUV,112Y
202501300111,235/45R19,Goodyear,EfficientGrip MOE ROF,95V
202501300112,285/45R19,Goodyear,Eagle F1 Asymmetric SUV Run Flat,111W
202501300113,275/35R20,Goodyear,Eagle F1 Asymmetric 2 MOExtended Run Flat,102Y
202501300114,205/55R16,Goodyear,EfficientGrip Performance,91V
202501300115,245/40R20,Goodyear,Eagle F1 Asymmetric 2 MOExtended Run Flat,99Y
202501300116,255/55R20,Goodyear,Eagle F1 Asymmetric SUV AT,110W
202501300117,285/50R20,Goodyear,Eagle GT II,111H
